Customer_ID,Age,Gender,Annual_Income,Credit_Score,City,Employment_Type
C1083,45,Male,1543046,735,Chennai,Salaried
C1084,65,Male,858758,625,Pune,Salaried
C1085,61,Female,933753,723,Mumbai,Salaried
C1086,49,Male,230861,757,Kolkata,Salaried
C1087,35,Male,1566617,792,Bengaluru,Business
C1088,65,Male,1441553,692,Pune,Business
C1089,21,Female,831406,685,Kolkata,Salaried
C1090,45,Female,901001,634,Chennai,Salaried
C1091,27,Male,189078,638,Bengaluru,Business
C1092,29,Female,504912,683,Bengaluru,Salaried
C1093,44,Male,1038058,728,Chennai,Salaried
C1094,21,Male,1024092,769,Pune,Salaried
C1095,64,Male,1147290,640,Hyderabad,Self-Employed
C1096,28,Male,1623717,812,Chennai,Salaried
C1097,44,Female,395048,680,Chennai,Business
C1098,31,Female,940581,698,Chennai,Salaried
C1099,37,Female,1096838,644,Bengaluru,Salaried
C1100,28,Male,829438,518,Ahmedabad,Salaried
C1101,55,Male,1385663,766,Mumbai,Salaried
C1102,55,Male,213320,755,Kolkata,Self-Employed
C1103,53,Female,507025,679,Hyderabad,Self-Employed
C1104,25,Male,795115,705,Pune,Self-Employed
C1105,62,Female,1741863,739,Pune,Self-Employed
C1106,59,Female,544359,583,Kolkata,Business
C1107,61,Female,1123793,660,Mumbai,Business
C1108,48,Female,1488507,760,Chennai,Self-Employed
C1109,27,Female,1123187,606,Ahmedabad,Salaried
C1110,29,Female,586845,722,Hyderabad,Salaried
C1111,28,Male,1777690,598,Pune,Salaried
C1112,32,Male,280734,735,Kolkata,Self-Employed
C1113,54,Female,337702,697,Delhi,Salaried
C1114,53,Female,934122,579,Ahmedabad,Salaried
C1115,43,Male,1405811,787,Kolkata,Business
C1116,44,Female,1327087,645,Ahmedabad,Business
C1117,57,Female,1163939,639,Pune,Business
C1118,55,Male,1502373,715,Chennai,Salaried
C1119,64,Female,786229,786,Delhi,Self-Employed
C1120,60,Female,909497,624,Mumbai,Salaried
C1121,42,Female,278818,705,Hyderabad,Salaried
C1122,47,Male,1153950,732,Mumbai,Salaried
C1123,55,Male,332360,752,Mumbai,Salaried
C1124,21,Male,799369,713,Kolkata,Salaried
C1125,55,Female,741165,672,Ahmedabad,Business
C1126,57,Female,553706,638,Hyderabad,Salaried
C1127,34,Male,1112817,706,Hyderabad,Self-Employed
C1128,23,Female,1440533,620,Pune,Salaried
C1129,21,Female,252715,481,Pune,Salaried
C1130,25,Female,321398,733,Hyderabad,Salaried
C1131,46,Female,1747628,768,Delhi,Salaried
C1132,34,Female,1361208,523,Bengaluru,Self-Employed
C1133,59,Male,1045580,624,Pune,Salaried
C1134,47,Female,263186,746,Bengaluru,Salaried
C1135,29,Male,1379670,850,Kolkata,Salaried
C1136,35,Female,774604,702,Delhi,Salaried
C1137,35,Male,1256956,645,Hyderabad,Business
C1138,46,Female,814486,686,Delhi,Salaried
C1139,62,Male,444500,803,Pune,Self-Employed
C1140,33,Female,250326,652,Mumbai,Self-Employed
C1141,52,Male,1058879,640,Kolkata,Business
C1142,59,Female,819282,664,Hyderabad,Business
C1143,52,Male,400971,629,Chennai,Self-Employed
C1144,24,Female,986481,709,Kolkata,Self-Employed
C1145,50,Male,1697509,822,Ahmedabad,Business
C1146,57,Male,1397060,724,Bengaluru,Salaried
C1147,43,Female,1211519,681,Delhi,Salaried
C1148,59,Female,969352,678,Hyderabad,Salaried
C1149,65,Male,664410,583,Kolkata,Business
C1150,35,Female,1570281,766,Delhi,Business
C1151,63,Male,405314,694,Hyderabad,Salaried
C1152,49,Male,1667292,686,Pune,Self-Employed
C1153,56,Male,1720448,850,Kolkata,Salaried
C1154,33,Female,696998,722,Pune,Salaried
C1155,52,Male,1127531,644,Kolkata,Business
C1156,27,Male,1748560,668,Pune,Salaried
C1157,42,Female,645757,786,Ahmedabad,Salaried
C1158,48,Female,1603060,708,Delhi,Self-Employed
C1159,22,Female,688062,592,Chennai,Self-Employed
C1160,62,Female,312028,769,Kolkata,Salaried
C1161,65,Male,411447,650,Ahmedabad,Self-Employed
C1162,26,Male,1040563,840,Kolkata,Salaried
C1163,48,Male,1669700,781,Pune,Salaried
C1164,48,Male,1175843,666,Hyderabad,Salaried
C1165,64,Female,806045,796,Kolkata,Self-Employed
C1166,64,Male,1661235,705,Ahmedabad,Salaried
C1167,40,Male,481207,764,Pune,Business
C1168,50,Female,1604945,736,Mumbai,Business
C1169,31,Male,1607120,637,Pune,Business
C1170,48,Male,1571538,652,Delhi,Salaried
C1171,45,Male,446847,777,Chennai,Business
C1172,59,Male,900488,675,Mumbai,Salaried
C1173,53,Male,776387,670,Delhi,Salaried
C1174,21,Male,599065,628,Delhi,Salaried
C1175,47,Female,867220,732,Delhi,Salaried
C1176,33,Female,211585,850,Hyderabad,Self-Employed
C1177,61,Male,1643807,620,Delhi,Salaried
C1178,23,Male,1175043,702,Hyderabad,Salaried
C1179,59,Female,1796449,806,Delhi,Self-Employed
C1180,26,Male,469102,694,Bengaluru,Salaried
C1181,28,Male,1516737,734,Ahmedabad,Self-Employed
C1182,47,Male,1615397,620,Mumbai,Salaried
C1183,29,Female,1142854,732,Bengaluru,Business
C1184,57,Male,459922,686,Delhi,Business
C1185,53,Female,880601,774,Mumbai,Salaried
C1186,62,Male,1270805,789,Mumbai,Salaried
C1187,64,Female,1315228,850,Kolkata,Salaried
C1188,44,Female,1094699,743,Chennai,Business
C1189,35,Male,429474,724,Bengaluru,Salaried
C1190,52,Female,1092935,715,Chennai,Salaried
C1191,52,Male,440116,674,Mumbai,Salaried
C1192,44,Female,1051310,725,Hyderabad,Salaried
C1193,61,Male,1124994,678,Mumbai,Salaried
C1194,32,Male,700985,713,Chennai,Business
C1195,59,Female,199975,799,Bengaluru,Salaried
C1196,22,Male,337795,625,Delhi,Salaried
C1197,23,Male,1645071,785,Kolkata,Business
C1198,57,Female,1437949,799,Kolkata,Business
C1199,37,Male,1109065,691,Kolkata,Salaried
C1200,22,Male,1204939,541,Delhi,Salaried
C1201,22,Female,1425709,654,Kolkata,Salaried
C1202,48,Female,1054829,797,Bengaluru,Business
C1203,43,Male,1523862,698,Delhi,Salaried
C1204,57,Male,1404613,625,Kolkata,Business
C1205,52,Female,568076,662,Delhi,Self-Employed
C1206,53,Female,840008,763,Chennai,Salaried
C1207,21,Male,870493,741,Ahmedabad,Salaried
C1208,39,Female,1148181,682,Ahmedabad,Salaried
C1209,22,Male,800347,672,Bengaluru,Salaried
C1210,64,Male,1192092,671,Pune,Salaried
C1211,46,Male,802605,631,Hyderabad,Self-Employed
C1212,52,Male,905495,821,Kolkata,Business
C1213,26,Male,1525766,676,Hyderabad,Self-Employed
C1214,52,Female,1668856,791,Delhi,Self-Employed
C1215,24,Female,281459,814,Hyderabad,Salaried
C1216,31,Female,941985,775,Bengaluru,Salaried
C1217,37,Female,380422,668,Bengaluru,Salaried
C1218,58,Male,1330096,730,Mumbai,Self-Employed
C1219,44,Male,765560,698,Ahmedabad,Business
C1220,25,Male,927512,632,Kolkata,Self-Employed
C1221,54,Male,696123,724,Mumbai,Salaried
C1222,26,Female,1558369,612,Hyderabad,Salaried
C1223,42,Male,506818,789,Pune,Self-Employed
C1224,31,Male,1216548,665,Mumbai,Salaried
C1225,36,Female,324832,715,Mumbai,Business
C1226,53,Female,332999,721,Bengaluru,Business
C1227,29,Female,528619,681,Pune,Self-Employed
C1228,26,Female,241367,744,Delhi,Salaried
C1229,36,Male,933315,664,Hyderabad,Salaried
C1230,49,Male,585804,765,Mumbai,Salaried
C1231,23,Female,1088182,599,Pune,Salaried
C1232,40,Male,937038,709,Ahmedabad,Salaried
C1233,56,Male,1464382,845,Kolkata,Self-Employed
C1234,39,Male,1084586,625,Pune,Self-Employed
C1235,46,Female,1273314,649,Ahmedabad,Salaried
C1236,23,Male,737685,739,Hyderabad,Salaried
C1237,39,Female,1572909,713,Pune,Salaried
C1238,40,Male,1567087,726,Ahmedabad,Salaried
C1239,52,Male,1222377,737,Pune,Business
C1240,27,Male,382332,748,Pune,Salaried
C1241,61,Female,562729,783,Kolkata,Salaried
C1242,53,Male,1340029,731,Ahmedabad,Salaried
C1243,60,Female,1248392,682,Ahmedabad,Business
C1244,59,Female,1139744,750,Mumbai,Self-Employed
C1245,38,Female,1103780,842,Hyderabad,Salaried
C1246,60,Male,949299,690,Kolkata,Salaried
C1247,21,Male,1645291,627,Pune,Self-Employed
C1248,31,Male,1186080,783,Pune,Business
C1249,48,Male,551000,691,Mumbai,Salaried
C1250,45,Female,393567,537,Hyderabad,Business
C1251,43,Female,1743509,764,Bengaluru,Business
C1252,51,Female,775923,660,Kolkata,Business
C1253,50,Male,396184,693,Mumbai,Self-Employed
C1254,62,Female,478090,725,Hyderabad,Self-Employed
C1255,55,Male,497348,714,Kolkata,Salaried
C1256,27,Female,1411534,753,Pune,Self-Employed
C1257,36,Male,1169156,667,Hyderabad,Salaried
C1258,46,Male,1506283,738,Hyderabad,Self-Employed
C1259,22,Female,272324,681,Delhi,Salaried
C1260,21,Female,403536,755,Hyderabad,Self-Employed
C1261,32,Female,1500567,746,Bengaluru,Business
C1262,25,Female,206155,630,Hyderabad,Salaried
C1263,57,Male,521815,781,Bengaluru,Business
C1264,52,Female,640494,660,Pune,Salaried
C1265,29,Female,329381,761,Bengaluru,Business
C1266,61,Female,1360267,728,Kolkata,Salaried
C1267,55,Male,1704986,838,Pune,Salaried
C1268,39,Male,623324,683,Pune,Business
C1269,36,Female,214707,674,Bengaluru,Salaried
C1270,23,Male,1117841,699,Ahmedabad,Business
C1271,40,Female,1747053,677,Mumbai,Salaried
C1272,44,Male,926788,760,Chennai,Salaried
C1273,53,Male,533299,579,Ahmedabad,Salaried
C1274,44,Male,1387068,621,Hyderabad,Self-Employed
C1275,31,Male,1702688,620,Delhi,Salaried
C1276,28,Female,350102,771,Chennai,Salaried
C1277,56,Female,574274,828,Hyderabad,Salaried
C1278,58,Female,397285,692,Ahmedabad,Salaried
C1279,60,Male,1566980,687,Ahmedabad,Business
C1280,40,Female,1388052,705,Hyderabad,Business
C1281,55,Female,938842,787,Pune,Salaried
C1282,45,Female,1202788,630,Hyderabad,Self-Employed
C1283,55,Male,1389504,718,Delhi,Salaried
C1284,45,Male,1030610,773,Ahmedabad,Self-Employed
C1285,49,Male,476141,738,Hyderabad,Business
C1286,38,Female,1123115,714,Bengaluru,Business
C1287,38,Female,1477076,775,Chennai,Salaried
C1288,22,Female,1360887,497,Bengaluru,Self-Employed
C1289,55,Male,425546,751,Delhi,Salaried
C1290,36,Male,1425309,651,Hyderabad,Business
C1291,61,Female,831233,563,Kolkata,Salaried
C1292,56,Male,1798136,738,Delhi,Self-Employed
C1293,53,Male,1221592,803,Pune,Self-Employed
C1294,24,Male,326470,690,Bengaluru,Self-Employed
C1295,53,Male,824318,771,Bengaluru,Salaried
C1296,34,Female,1547223,821,Mumbai,Business
C1297,41,Male,1235146,799,Hyderabad,Salaried
C1298,40,Male,510929,823,Pune,Self-Employed
C1299,28,Male,1761974,756,Kolkata,Salaried
C1300,27,Male,1727691,706,Bengaluru,Salaried
C1301,23,Female,259141,580,Bengaluru,Salaried
C1302,37,Female,192115,682,Pune,Salaried
C1303,53,Male,1267638,637,Delhi,Salaried
C1304,32,Male,989343,850,Delhi,Salaried
C1305,42,Male,1523276,687,Hyderabad,Salaried
C1306,42,Male,570479,709,Ahmedabad,Self-Employed
C1307,50,Male,1754833,741,Mumbai,Business
C1308,58,Male,1010185,703,Bengaluru,Salaried
C1309,58,Female,577686,827,Ahmedabad,Salaried
C1310,65,Male,1350439,653,Ahmedabad,Salaried
C1311,28,Female,976657,715,Mumbai,Salaried
C1312,47,Female,1729652,644,Ahmedabad,Self-Employed
C1313,47,Male,827296,601,Ahmedabad,Self-Employed
C1314,54,Female,1729302,654,Delhi,Salaried
C1315,41,Female,1205799,697,Delhi,Salaried
C1316,50,Female,980101,668,Chennai,Salaried
C1317,53,Female,1224257,648,Kolkata,Business
C1318,48,Female,228320,595,Hyderabad,Business
C1319,53,Female,1144918,694,Ahmedabad,Salaried
C1320,25,Male,676758,587,Chennai,Salaried
C1321,39,Female,1375225,757,Kolkata,Business
C1322,24,Female,1353930,706,Chennai,Business
C1323,55,Female,792297,591,Chennai,Salaried
C1324,37,Male,628625,677,Hyderabad,Salaried
C1325,64,Female,208625,644,Hyderabad,Salaried
C1326,48,Male,916400,724,Pune,Self-Employed
C1327,50,Female,1514809,801,Mumbai,Salaried
C1328,49,Male,1265063,559,Mumbai,Salaried
C1329,26,Male,1687630,709,Pune,Self-Employed
C1330,55,Female,1456647,688,Pune,Salaried
C1331,61,Female,668011,750,Delhi,Self-Employed
C1332,57,Male,1540858,716,Kolkata,Salaried
C1333,44,Female,1402471,644,Chennai,Salaried
C1334,49,Male,610424,676,Ahmedabad,Self-Employed
C1335,51,Male,496205,640,Pune,Salaried
C1336,55,Male,1128163,781,Bengaluru,Business
C1337,53,Male,1227328,702,Mumbai,Salaried
C1338,41,Male,281376,843,Pune,Salaried
C1339,52,Female,1653682,695,Bengaluru,Self-Employed
C1340,43,Male,1013487,647,Bengaluru,Salaried
C1341,53,Male,947629,586,Bengaluru,Business
C1342,23,Female,1510228,565,Delhi,Salaried
C1343,38,Male,1700708,581,Delhi,Salaried
C1344,45,Female,338056,720,Ahmedabad,Salaried
C1345,62,Female,814457,738,Ahmedabad,Salaried
C1346,51,Female,740347,581,Bengaluru,Business
C1347,23,Male,642785,767,Kolkata,Business
C1348,60,Male,1728229,664,Delhi,Salaried
C1349,44,Male,1212766,711,Chennai,Salaried
C1350,52,Female,709992,821,Bengaluru,Business
C1351,42,Male,1158080,767,Chennai,Business
C1352,43,Female,908744,680,Chennai,Salaried
C1353,22,Male,922488,633,Bengaluru,Salaried
C1354,47,Female,815567,539,Mumbai,Salaried
C1355,62,Male,862568,646,Kolkata,Business
C1356,22,Male,822804,684,Bengaluru,Salaried
C1357,46,Male,702828,626,Ahmedabad,Salaried
C1358,37,Female,658366,690,Bengaluru,Self-Employed
C1359,60,Female,901384,706,Delhi,Salaried
C1360,53,Male,1137386,683,Bengaluru,Salaried
C1361,29,Male,599139,651,Mumbai,Salaried
C1362,63,Female,699777,713,Delhi,Salaried
C1363,59,Female,1604764,733,Ahmedabad,Salaried
C1364,49,Female,412549,618,Hyderabad,Salaried
C1365,62,Male,1782029,806,Hyderabad,Salaried
C1366,46,Female,664965,693,Chennai,Self-Employed
C1367,55,Male,970546,701,Kolkata,Business
C1368,45,Female,1162469,753,Chennai,Self-Employed
C1369,44,Male,216321,717,Mumbai,Salaried
C1370,33,Female,515441,771,Pune,Salaried
C1371,27,Female,1473590,722,Ahmedabad,Salaried
C1372,56,Female,336498,654,Kolkata,Salaried
C1373,65,Female,1246348,727,Ahmedabad,Salaried
C1374,40,Female,970144,614,Hyderabad,Self-Employed
C1375,21,Male,574583,708,Chennai,Salaried
C1376,28,Female,418389,698,Ahmedabad,Salaried
C1377,36,Female,819430,684,Hyderabad,Salaried
C1378,34,Female,1280500,690,Mumbai,Self-Employed
C1379,32,Male,1756590,559,Mumbai,Salaried
C1380,43,Female,1579872,659,Pune,Self-Employed
C1381,35,Male,1256299,707,Ahmedabad,Salaried
C1382,48,Female,938470,712,Pune,Business
C1383,54,Female,844468,623,Delhi,Business
C1384,22,Male,388786,795,Kolkata,Salaried
C1385,52,Female,1788507,635,Ahmedabad,Salaried
C1386,43,Male,866684,773,Mumbai,Salaried
C1387,42,Male,1443008,732,Chennai,Salaried
C1388,45,Female,1208400,652,Hyderabad,Self-Employed
C1389,42,Male,1368575,833,Bengaluru,Business
C1390,42,Female,1060112,610,Pune,Self-Employed
C1391,62,Female,538690,769,Bengaluru,Business
C1392,26,Male,1119947,775,Ahmedabad,Salaried
C1393,35,Male,259973,650,Chennai,Salaried
C1394,63,Male,814122,804,Pune,Self-Employed
C1395,57,Male,1228173,681,Bengaluru,Salaried
C1396,53,Female,1682025,722,Kolkata,Self-Employed
C1397,28,Female,467681,720,Chennai,Salaried
C1398,64,Male,674509,690,Hyderabad,Salaried
C1399,64,Female,1775476,761,Kolkata,Business
C1400,25,Female,405049,760,Chennai,Salaried
C1401,59,Female,1497191,569,Delhi,Business
C1402,24,Female,346703,798,Pune,Business
C1403,26,Male,944357,575,Mumbai,Self-Employed
C1404,65,Male,927419,777,Hyderabad,Self-Employed
C1405,52,Female,1259924,785,Ahmedabad,Self-Employed
C1406,50,Male,1424380,618,Kolkata,Business
C1407,55,Male,315832,669,Kolkata,Salaried
C1408,60,Male,1523499,617,Bengaluru,Salaried
C1409,36,Female,463780,684,Pune,Self-Employed
C1410,33,Female,1282127,677,Ahmedabad,Salaried
C1411,62,Female,584772,758,Mumbai,Salaried
C1412,50,Male,751107,798,Chennai,Salaried
C1413,39,Female,1564490,805,Mumbai,Self-Employed
C1414,37,Female,1188559,658,Pune,Business
C1415,39,Male,600182,684,Pune,Salaried
C1416,48,Female,1441357,574,Delhi,Business
C1417,46,Female,1681681,640,Delhi,Self-Employed
C1418,57,Male,862347,772,Mumbai,Business
C1419,46,Male,1202378,821,Chennai,Self-Employed
C1420,43,Male,893708,607,Mumbai,Self-Employed
C1421,29,Female,728884,656,Pune,Salaried
C1422,32,Female,1030538,698,Pune,Business
C1423,21,Female,1205014,721,Bengaluru,Salaried
C1424,21,Male,1167471,639,Delhi,Business
C1425,54,Male,239182,732,Ahmedabad,Business
C1426,52,Female,529307,664,Ahmedabad,Salaried
C1427,45,Female,481454,699,Ahmedabad,Salaried
C1428,60,Male,1546808,741,Bengaluru,Self-Employed
C1429,65,Male,1368554,700,Hyderabad,Salaried
C1430,21,Male,1003346,667,Ahmedabad,Business
C1431,36,Male,1076782,692,Pune,Salaried
C1432,59,Female,1798243,693,Bengaluru,Salaried
C1433,25,Male,1700404,672,Mumbai,Business
C1434,42,Female,950188,681,Delhi,Self-Employed
C1435,49,Female,438517,820,Delhi,Business
C1436,23,Female,1135154,742,Chennai,Salaried
C1437,32,Male,1668673,678,Mumbai,Self-Employed
C1438,46,Male,1537133,752,Chennai,Self-Employed
C1439,36,Male,317084,675,Bengaluru,Self-Employed
C1440,57,Male,885475,788,Kolkata,Self-Employed
C1441,42,Female,762004,728,Ahmedabad,Self-Employed
C1442,49,Male,1060179,692,Hyderabad,Salaried
C1443,34,Male,928013,734,Mumbai,Salaried
C1444,48,Female,871738,582,Mumbai,Self-Employed
C1445,25,Male,1432078,615,Mumbai,Salaried
C1446,50,Female,324539,610,Chennai,Self-Employed
C1447,25,Female,604226,711,Bengaluru,Salaried
C1448,32,Female,1750439,830,Mumbai,Self-Employed
C1449,36,Female,1350575,850,Kolkata,Self-Employed
C1450,46,Female,1343369,748,Mumbai,Salaried
C1451,46,Female,1685949,738,Delhi,Salaried
C1452,41,Female,1598897,565,Ahmedabad,Salaried
C1453,59,Female,192289,659,Hyderabad,Self-Employed
C1454,56,Male,880336,641,Ahmedabad,Business
C1455,53,Male,878956,653,Delhi,Salaried
C1456,50,Male,1485944,687,Delhi,Self-Employed
C1457,57,Male,266365,665,Hyderabad,Salaried
C1458,43,Female,934950,552,Kolkata,Salaried
C1459,30,Male,355211,756,Bengaluru,Business
C1460,25,Female,1408361,620,Delhi,Salaried
C1461,56,Male,1301164,718,Bengaluru,Salaried
C1462,54,Male,243646,850,Delhi,Salaried
C1463,51,Male,445798,631,Pune,Salaried
C1464,30,Female,1710814,510,Hyderabad,Salaried
C1465,39,Male,909532,679,Delhi,Salaried
C1466,52,Female,1103945,783,Pune,Self-Employed
C1467,21,Female,1348311,847,Ahmedabad,Salaried
C1468,25,Male,335683,608,Chennai,Salaried
C1469,65,Male,1086323,737,Pune,Salaried
C1470,24,Male,812259,665,Mumbai,Salaried
C1471,36,Female,716437,692,Delhi,Self-Employed
C1472,44,Male,1590822,850,Pune,Business
C1473,36,Female,1549909,587,Bengaluru,Salaried
C1474,22,Female,746956,719,Chennai,Business
C1475,48,Male,1635465,735,Kolkata,Self-Employed
C1476,52,Male,1174170,781,Delhi,Self-Employed
C1477,47,Female,792492,707,Mumbai,Salaried
C1478,40,Female,391830,723,Kolkata,Salaried
C1479,44,Female,1425077,671,Pune,Salaried
C1480,32,Male,1645461,720,Kolkata,Self-Employed
C1481,55,Female,345140,674,Kolkata,Salaried
C1482,53,Male,1369083,747,Chennai,Business
C1483,53,Female,405160,672,Ahmedabad,Salaried
C1484,63,Female,1411897,728,Kolkata,Salaried
C1485,57,Male,741672,698,Kolkata,Self-Employed
C1486,32,Female,701998,784,Delhi,Salaried
C1487,23,Male,786217,696,Ahmedabad,Salaried
C1488,21,Male,255388,567,Chennai,Self-Employed
C1489,53,Female,735689,795,Mumbai,Business
C1490,60,Male,698727,632,Pune,Self-Employed
C1491,30,Male,412601,651,Chennai,Self-Employed
C1492,63,Female,1356410,655,Chennai,Self-Employed
C1493,64,Male,1262660,803,Hyderabad,Business
C1494,49,Male,1480035,540,Chennai,Salaried
C1495,33,Male,285111,850,Ahmedabad,Salaried
C1496,32,Female,1677618,779,Hyderabad,Salaried
C1497,51,Male,609667,717,Pune,Salaried
C1498,22,Female,342982,696,Kolkata,Self-Employed
C1499,55,Female,478185,721,Delhi,Self-Employed
C1500,43,Male,1556401,739,Delhi,Self-Employed
C1501,37,Male,414386,748,Pune,Salaried
C1502,46,Male,1572291,742,Pune,Self-Employed
C1503,28,Female,1425129,707,Ahmedabad,Salaried
C1504,49,Male,641792,685,Bengaluru,Self-Employed
C1505,46,Male,681174,689,Kolkata,Self-Employed
C1506,30,Male,964625,685,Pune,Salaried
C1507,46,Male,831844,785,Chennai,Salaried
C1508,54,Male,375246,745,Ahmedabad,Salaried
C1509,61,Female,1779024,479,Delhi,Business
C1510,27,Female,426242,749,Mumbai,Business
C1511,24,Male,691083,715,Ahmedabad,Self-Employed
C1512,65,Male,197633,699,Delhi,Salaried
C1513,31,Male,1192384,671,Hyderabad,Salaried
C1514,49,Male,1046964,784,Ahmedabad,Self-Employed
C1515,56,Female,229104,771,Delhi,Self-Employed
C1516,45,Male,1139125,642,Bengaluru,Salaried
C1517,41,Female,1043663,731,Ahmedabad,Salaried
C1518,56,Female,1296964,627,Ahmedabad,Self-Employed
C1519,30,Male,1768878,597,Kolkata,Salaried
C1520,57,Female,1321154,653,Pune,Salaried
C1521,29,Female,869115,765,Kolkata,Salaried
C1522,44,Female,744678,771,Ahmedabad,Salaried
C1523,55,Female,1514431,738,Pune,Business
C1524,55,Male,1320234,754,Delhi,Business
C1525,56,Male,237993,739,Mumbai,Self-Employed
C1526,38,Female,385768,652,Mumbai,Salaried
C1527,59,Male,1386861,732,Ahmedabad,Salaried
C1528,52,Male,951148,760,Bengaluru,Salaried
C1529,44,Male,1202460,757,Hyderabad,Salaried
C1530,43,Male,1679576,789,Delhi,Self-Employed
C1531,52,Male,973853,753,Pune,Salaried
C1532,57,Female,922296,726,Ahmedabad,Salaried
C1533,32,Male,722015,780,Delhi,Salaried
C1534,33,Male,1078850,698,Ahmedabad,Salaried
C1535,43,Male,1757222,634,Bengaluru,Salaried
C1536,45,Male,1555828,688,Chennai,Salaried
C1537,55,Female,437681,644,Chennai,Business
C1538,61,Female,274018,649,Bengaluru,Salaried
C1539,50,Female,1615177,689,Pune,Salaried
C1540,37,Female,1522630,641,Kolkata,Business
C1541,40,Male,409104,677,Bengaluru,Business
C1542,45,Female,1022186,558,Ahmedabad,Self-Employed
C1543,42,Male,373510,716,Pune,Business
C1544,33,Male,1338423,700,Mumbai,Salaried
