Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Application_Date,Loan_Status
L5094,C1558,Personal Loan,64260,10.35,24,2024-07-08,Approved
L5095,C1972,Business Loan,496211,14.41,84,2025-08-25,Approved
L5096,C1360,Business Loan,2136082,13.98,12,2024-06-21,Rejected
L5097,C1865,Home Loan,3037699,12.44,120,2026-01-28,Approved
L5098,C1983,Personal Loan,259486,9.04,36,2026-02-06,Default
L5099,C1487,Business Loan,446192,11.08,12,2025-09-19,Rejected
L5100,C1351,Auto Loan,1664939,13.02,180,2025-07-14,Rejected
L5101,C1700,Auto Loan,464130,12.12,120,2024-08-14,Approved
L5102,C1927,Business Loan,2113065,8.03,24,2025-08-03,Rejected
L5103,C1255,Auto Loan,887790,14.29,120,2025-01-22,Pending
L5104,C1221,Personal Loan,105479,7.38,36,2025-02-04,Approved
L5105,C1883,Auto Loan,1724758,11.04,240,2025-09-29,Approved
L5106,C1752,Personal Loan,442977,15.02,180,2024-07-31,Approved
L5107,C1780,Education Loan,708546,6.74,60,2024-02-22,Rejected
L5108,C1000,Auto Loan,1487999,13.34,120,2025-09-15,Approved
L5109,C1545,Personal Loan,427332,10.51,36,2025-11-01,Rejected
L5110,C1445,Home Loan,884153,6.61,12,2026-01-21,Approved
L5111,C1078,Personal Loan,767278,8.78,12,2025-10-23,Pending
L5112,C1235,Personal Loan,470331,17.79,24,2024-05-18,Approved
L5113,C1333,Auto Loan,958272,12.75,180,2025-02-21,Approved
L5114,C1888,Personal Loan,127442,18.47,12,2025-09-16,Approved
L5115,C1348,Education Loan,411896,12.8,60,2024-05-22,Approved
L5116,C1097,Personal Loan,309488,13.03,240,2026-05-31,Approved
L5117,C1081,Auto Loan,278947,11.2,240,2025-05-23,Approved
L5118,C1501,Education Loan,961148,10.22,24,2025-10-11,Approved
L5119,C1966,Auto Loan,641209,9.52,120,2025-04-30,Pending
L5120,C1476,Home Loan,4769411,10.62,12,2025-03-12,Pending
L5121,C1926,Business Loan,2493648,12.02,36,2026-03-26,Approved
L5122,C1703,Personal Loan,776797,8.8,84,2025-06-26,Approved
L5123,C1764,Personal Loan,363760,9.2,240,2024-10-19,Approved
L5124,C1920,Home Loan,3399087,9.76,24,2025-09-11,Rejected
L5125,C1549,Personal Loan,420134,11.89,120,2024-10-10,Approved
L5126,C1013,Business Loan,3667764,14.33,48,2025-11-01,Approved
L5127,C1391,Personal Loan,516152,16.77,24,2026-04-17,Approved
L5128,C1346,Education Loan,794934,9.95,36,2024-01-14,Rejected
L5129,C1309,Education Loan,1140835,8.7,84,2025-09-25,Approved
L5130,C1385,Personal Loan,385076,11.05,240,2025-12-27,Pending
L5131,C1208,Auto Loan,469482,17.23,180,2024-09-28,Approved
L5132,C1356,Personal Loan,223790,6.62,240,2024-01-25,Approved
L5133,C1973,Home Loan,942617,14.63,48,2024-11-17,Approved
L5134,C1600,Personal Loan,635768,12.23,48,2026-03-16,Approved
L5135,C1567,Business Loan,3057753,8.43,240,2025-11-11,Approved
L5136,C1093,Business Loan,1568962,10.35,180,2024-04-12,Approved
L5137,C1092,Personal Loan,54695,9.2,24,2026-05-15,Approved
L5138,C1339,Personal Loan,782426,17.03,180,2026-06-01,Approved
L5139,C1596,Education Loan,1130120,12.28,12,2024-02-09,Approved
L5140,C1444,Personal Loan,588606,13.26,240,2024-08-22,Default
L5141,C1756,Business Loan,3234518,13.62,240,2026-04-11,Approved
L5142,C1021,Auto Loan,1664123,14.18,180,2024-03-29,Rejected
L5143,C1290,Home Loan,2556608,12.45,60,2024-04-09,Approved
L5144,C1484,Business Loan,3537619,6.71,60,2024-05-23,Approved
L5145,C1783,Home Loan,3367228,10.52,36,2024-03-22,Approved
L5146,C1305,Business Loan,1049045,8.71,60,2025-08-11,Approved
L5147,C1633,Business Loan,1417330,14.66,48,2025-07-24,Approved
L5148,C1127,Personal Loan,446053,7.18,12,2024-08-16,Approved
L5149,C1624,Personal Loan,437405,13.27,240,2025-08-25,Rejected
L5150,C1938,Business Loan,2911056,9.03,48,2026-05-15,Approved
L5151,C1272,Business Loan,3429272,17.89,36,2025-01-29,Approved
L5152,C1847,Personal Loan,417482,10.53,84,2025-05-27,Approved
L5153,C1441,Business Loan,864365,10.4,12,2026-02-19,Approved
L5154,C1502,Home Loan,5336363,17.58,60,2026-03-08,Rejected
L5155,C1129,Personal Loan,709599,11.51,120,2024-07-15,Approved
L5156,C1131,Business Loan,3687232,18.05,24,2024-09-30,Approved
L5157,C1596,Personal Loan,341813,6.79,240,2025-08-12,Approved
L5158,C1934,Business Loan,3232208,10.18,84,2025-10-14,Approved
L5159,C1481,Personal Loan,709510,14.49,24,2026-03-10,Rejected
L5160,C1861,Auto Loan,881376,17.19,180,2025-08-05,Approved
L5161,C1389,Personal Loan,717296,9.58,180,2025-07-15,Approved
L5162,C1592,Home Loan,1756740,17.67,12,2025-01-06,Approved
L5163,C1998,Auto Loan,1393669,13.63,12,2026-05-30,Rejected
L5164,C1984,Personal Loan,563694,16.11,12,2024-03-20,Approved
L5165,C1324,Home Loan,3010846,11.27,48,2024-08-22,Approved
L5166,C1068,Home Loan,5228760,9.05,48,2024-10-13,Rejected
L5167,C1659,Personal Loan,262079,17.43,180,2026-03-29,Approved
L5168,C1447,Education Loan,543232,17.7,12,2025-10-28,Approved
L5169,C1527,Personal Loan,466460,12.47,36,2025-07-25,Approved
L5170,C1818,Auto Loan,1704819,6.58,12,2025-06-28,Rejected
L5171,C1616,Home Loan,5295433,7.82,240,2025-03-12,Approved
L5172,C1164,Home Loan,2767582,13.38,240,2024-05-06,Default
L5173,C1487,Personal Loan,578058,6.79,120,2026-01-02,Rejected
L5174,C1712,Home Loan,5823601,11.26,180,2025-12-12,Approved
L5175,C1708,Home Loan,4530864,10.14,12,2025-02-20,Approved
L5176,C1425,Education Loan,152635,15.07,60,2025-09-29,Approved
L5177,C1696,Business Loan,320946,7.17,24,2024-02-10,Approved
L5178,C1833,Home Loan,1783638,12.36,12,2026-02-25,Pending
L5179,C1264,Personal Loan,670140,13.45,36,2025-04-13,Approved
L5180,C1874,Personal Loan,403247,13.91,120,2024-10-23,Approved
L5181,C1611,Personal Loan,535260,11.36,12,2025-08-19,Rejected
L5182,C1341,Personal Loan,167729,10.15,24,2025-08-23,Approved
L5183,C1831,Home Loan,4986080,14.69,24,2024-02-11,Rejected
L5184,C1725,Personal Loan,744519,16.67,48,2025-09-23,Rejected
L5185,C1277,Personal Loan,335815,14.82,36,2024-10-05,Approved
L5186,C1673,Personal Loan,721810,17.69,36,2025-04-03,Approved
L5187,C1438,Personal Loan,500491,15.11,60,2024-02-02,Rejected
L5188,C1156,Personal Loan,478734,15.68,36,2024-10-02,Rejected
L5189,C1421,Personal Loan,369957,8.51,120,2025-10-26,Approved
L5190,C1250,Home Loan,896748,11.53,60,2024-03-30,Approved
L5191,C1877,Home Loan,4709308,12.32,48,2025-09-07,Approved
L5192,C1608,Personal Loan,450022,9.58,36,2025-06-07,Approved
L5193,C1529,Home Loan,5623325,12.84,48,2024-06-08,Approved
L5194,C1326,Personal Loan,176865,9.99,24,2025-04-02,Approved
L5195,C1960,Personal Loan,395695,14.75,12,2025-12-08,Approved
L5196,C1894,Personal Loan,351364,12.14,36,2025-02-02,Approved
L5197,C1096,Home Loan,2127878,12.01,24,2026-03-29,Default
L5198,C1512,Auto Loan,1067424,18.3,12,2026-02-12,Rejected
L5199,C1215,Personal Loan,636864,11.21,12,2024-03-31,Approved
L5200,C1131,Personal Loan,205260,10.85,24,2025-12-09,Approved
L5201,C1259,Business Loan,3669415,10.32,240,2025-08-03,Approved
L5202,C1124,Personal Loan,370974,17.24,60,2025-04-10,Approved
L5203,C1081,Personal Loan,709379,12.46,240,2024-08-07,Default
L5204,C1282,Business Loan,2409571,13.7,180,2025-02-22,Approved
L5205,C1682,Education Loan,481856,8.67,84,2025-01-13,Default
L5206,C1058,Home Loan,4443512,12.99,12,2025-12-26,Approved
L5207,C1543,Home Loan,4565444,9.8,60,2025-03-22,Approved
L5208,C1160,Personal Loan,713333,15.27,12,2024-05-25,Approved
L5209,C1283,Personal Loan,660937,16.49,120,2024-08-20,Approved
L5210,C1105,Auto Loan,584793,15.08,180,2025-01-05,Approved
L5211,C1104,Personal Loan,323280,15.26,180,2024-08-21,Pending
L5212,C1438,Home Loan,4816899,12.65,120,2025-12-26,Rejected
L5213,C1227,Business Loan,3246086,15.05,24,2025-01-01,Pending
L5214,C1699,Business Loan,3608085,11.57,60,2025-04-25,Rejected
L5215,C1581,Personal Loan,173168,14.32,48,2025-07-26,Pending
L5216,C1317,Auto Loan,259155,9.61,60,2024-12-28,Approved
L5217,C1463,Home Loan,5456630,7.34,240,2025-08-12,Approved
L5218,C1801,Business Loan,3154135,11.46,48,2025-05-25,Rejected
L5219,C1598,Personal Loan,329934,12.04,180,2024-04-04,Rejected
L5220,C1881,Personal Loan,526377,9.58,180,2026-04-21,Rejected
L5221,C1873,Personal Loan,448422,15.23,24,2024-08-03,Approved
L5222,C1471,Personal Loan,171937,7.38,84,2025-12-25,Approved
L5223,C1055,Personal Loan,135053,9.17,60,2026-03-26,Pending
L5224,C1624,Education Loan,478355,15.48,24,2025-12-12,Approved
L5225,C1012,Auto Loan,1548416,11.75,48,2026-05-13,Approved
L5226,C1439,Personal Loan,524857,14.96,120,2025-06-26,Rejected
L5227,C1017,Home Loan,3915848,13.31,12,2026-03-12,Pending
L5228,C1693,Personal Loan,676683,17.91,240,2026-05-04,Approved
L5229,C1972,Business Loan,1339474,13.67,12,2024-05-14,Pending
L5230,C1112,Business Loan,2259129,6.68,60,2024-03-23,Default
L5231,C1228,Business Loan,2714697,10.73,120,2025-01-25,Default
L5232,C1170,Business Loan,3643026,8.22,180,2024-02-16,Pending
L5233,C1294,Personal Loan,599391,17.6,24,2025-01-26,Approved
L5234,C1188,Personal Loan,477479,7.75,48,2025-12-18,Approved
L5235,C1425,Auto Loan,1718413,11.15,24,2025-01-19,Approved
L5236,C1976,Business Loan,1660764,9.21,48,2025-01-15,Approved
L5237,C1078,Personal Loan,632018,16.66,84,2024-03-17,Approved
L5238,C1657,Personal Loan,75825,10.2,84,2024-09-15,Approved
L5239,C1918,Education Loan,597393,18.4,24,2025-08-26,Approved
L5240,C1181,Personal Loan,87271,6.96,48,2025-02-02,Approved
L5241,C1498,Home Loan,1925832,8.04,48,2024-04-09,Approved
L5242,C1797,Auto Loan,1688524,9.2,12,2025-05-15,Pending
L5243,C1761,Personal Loan,116433,16.23,24,2025-01-17,Approved
L5244,C1865,Personal Loan,787990,17.04,36,2025-12-07,Approved
L5245,C1825,Education Loan,856350,7.36,60,2024-07-10,Approved
L5246,C1707,Auto Loan,1796436,6.89,180,2025-08-02,Approved
L5247,C1834,Business Loan,862834,15.43,84,2026-01-23,Default
L5248,C1070,Personal Loan,496880,8.1,36,2025-08-24,Approved
L5249,C1247,Personal Loan,525551,8.1,84,2024-12-10,Approved
L5250,C1145,Education Loan,830559,6.77,120,2024-01-10,Approved
L5251,C1617,Home Loan,1321727,7.1,84,2024-09-20,Approved
L5252,C1774,Personal Loan,86948,9.66,84,2024-09-24,Approved
L5253,C1295,Education Loan,453351,7.28,12,2026-04-11,Approved
L5254,C1581,Personal Loan,534137,10.93,36,2025-09-21,Approved
L5255,C1469,Personal Loan,596312,16.49,120,2026-01-31,Pending
L5256,C1505,Personal Loan,657200,10.42,48,2025-07-24,Rejected
L5257,C1192,Home Loan,3676673,15.23,48,2024-07-13,Approved
L5258,C1067,Home Loan,2082322,7.63,120,2025-07-15,Approved
L5259,C1493,Home Loan,5405677,14.41,240,2025-02-10,Approved
L5260,C1816,Auto Loan,1743912,10.3,24,2024-10-22,Approved
L5261,C1051,Business Loan,3796425,15.5,240,2026-06-08,Approved
L5262,C1881,Personal Loan,707116,8.14,36,2024-04-06,Pending
L5263,C1362,Personal Loan,281749,17.27,84,2025-04-06,Approved
L5264,C1796,Personal Loan,676776,9.41,48,2025-09-30,Pending
L5265,C1916,Personal Loan,671029,10.74,12,2026-01-27,Approved
L5266,C1473,Auto Loan,431773,17.9,240,2024-03-27,Default
L5267,C1845,Auto Loan,1182099,13.44,84,2024-03-17,Approved
L5268,C1520,Education Loan,1112889,10.89,180,2026-06-07,Rejected
L5269,C1762,Personal Loan,447751,17.9,24,2025-12-16,Approved
L5270,C1430,Personal Loan,499251,10.45,120,2025-04-27,Pending
L5271,C1843,Home Loan,1316031,7.64,84,2024-05-25,Pending
L5272,C1297,Personal Loan,97367,18.46,24,2025-10-22,Rejected
L5273,C1434,Auto Loan,1134622,9.71,24,2024-04-20,Approved
L5274,C1695,Business Loan,1801604,16.72,48,2025-10-02,Rejected
L5275,C1690,Home Loan,2432748,8.49,48,2026-02-03,Approved
L5276,C1197,Education Loan,768640,15.28,36,2025-11-08,Approved
L5277,C1127,Home Loan,1164716,12.79,180,2024-10-23,Pending
L5278,C1531,Personal Loan,627539,18.27,120,2025-03-01,Approved
L5279,C1983,Auto Loan,1333397,13.13,24,2025-10-10,Approved
L5280,C1410,Personal Loan,657871,6.8,36,2026-03-01,Approved
L5281,C1933,Personal Loan,294697,13.75,240,2024-11-29,Rejected
L5282,C1839,Auto Loan,1258783,8.24,60,2025-06-06,Approved
L5283,C1064,Business Loan,1026487,16.08,24,2025-08-05,Approved
L5284,C1693,Personal Loan,77757,16.78,36,2025-11-01,Approved
L5285,C1240,Home Loan,1254623,12.29,180,2025-12-28,Rejected
L5286,C1368,Business Loan,3217406,15.9,48,2025-06-21,Approved
L5287,C1535,Education Loan,141340,8.24,24,2026-03-08,Rejected
L5288,C1383,Auto Loan,442955,12.4,24,2024-06-10,Approved
L5289,C1430,Personal Loan,649608,11.23,84,2025-03-05,Rejected
L5290,C1966,Business Loan,1713285,13.84,180,2025-09-05,Default
L5291,C1082,Personal Loan,478373,7.03,120,2024-03-09,Approved
L5292,C1981,Auto Loan,1530657,15.53,48,2024-05-12,Approved
L5293,C1830,Personal Loan,323363,7.45,24,2024-07-07,Pending
L5294,C1696,Auto Loan,1257975,14.38,240,2025-12-23,Approved
L5295,C1950,Personal Loan,701021,6.72,48,2026-01-24,Approved
L5296,C1827,Home Loan,1745161,16.48,240,2025-11-08,Pending
L5297,C1610,Personal Loan,281615,8.6,60,2025-07-26,Default
L5298,C1573,Personal Loan,659981,12.69,120,2026-05-23,Approved
L5299,C1285,Auto Loan,825219,9.64,60,2024-10-05,Approved
L5300,C1988,Business Loan,3386810,15.17,24,2025-03-05,Approved
L5301,C1533,Business Loan,2535004,10.36,84,2025-09-16,Approved
L5302,C1458,Personal Loan,339194,15.2,120,2025-06-25,Rejected
L5303,C1211,Auto Loan,797839,9.92,84,2026-04-14,Rejected
L5304,C1125,Auto Loan,530810,15.53,36,2024-06-09,Pending
L5305,C1412,Personal Loan,798979,6.87,180,2026-01-15,Approved
L5306,C1498,Personal Loan,656304,9.9,36,2026-06-17,Approved
L5307,C1424,Auto Loan,253010,12.48,60,2025-03-28,Approved
L5308,C1553,Business Loan,3677812,7.04,240,2026-06-07,Approved
L5309,C1609,Auto Loan,1522248,8.73,60,2026-04-30,Rejected
L5310,C1960,Home Loan,1707272,17.71,120,2024-06-18,Approved
L5311,C1542,Home Loan,5174984,18.22,120,2026-04-09,Rejected
L5312,C1157,Personal Loan,449130,15.38,60,2025-11-28,Rejected
L5313,C1111,Education Loan,636364,9.53,24,2024-02-26,Default
L5314,C1401,Education Loan,1003057,9.63,60,2024-08-27,Rejected
L5315,C1758,Personal Loan,752076,14.25,120,2026-02-07,Pending
L5316,C1121,Business Loan,1923162,7.91,120,2024-12-23,Approved
L5317,C1272,Personal Loan,119835,17.88,48,2024-07-19,Approved
L5318,C1293,Business Loan,2919909,9.2,12,2025-03-19,Approved
L5319,C1397,Home Loan,3533864,18.5,84,2026-04-16,Approved
L5320,C1470,Personal Loan,713478,12.45,36,2026-04-06,Rejected
L5321,C1984,Home Loan,4939524,15.76,60,2024-10-28,Approved
L5322,C1206,Home Loan,2102970,6.53,48,2024-04-15,Approved
L5323,C1109,Personal Loan,369055,17.16,24,2026-03-12,Approved
L5324,C1439,Auto Loan,1190993,9.74,120,2024-04-10,Approved
L5325,C1277,Auto Loan,303088,14.52,60,2024-04-06,Rejected
L5326,C1962,Education Loan,1059296,16.18,120,2025-10-26,Rejected
L5327,C1567,Personal Loan,624901,8.47,240,2024-01-29,Rejected
L5328,C1886,Home Loan,2613948,11.81,48,2025-05-20,Approved
L5329,C1914,Personal Loan,214999,12.43,60,2025-10-26,Approved
L5330,C1568,Auto Loan,462530,10.25,240,2025-03-13,Rejected
L5331,C1939,Personal Loan,535369,12.28,48,2025-01-13,Rejected
L5332,C1481,Business Loan,1814520,10.31,60,2024-03-13,Approved
L5333,C1802,Auto Loan,1540740,10.83,60,2024-09-10,Approved
L5334,C1113,Home Loan,1017767,14.53,180,2025-05-30,Approved
L5335,C1892,Home Loan,1909970,14.09,48,2026-01-18,Rejected
L5336,C1896,Personal Loan,774305,9.29,48,2025-07-03,Pending
L5337,C1819,Personal Loan,689665,17.27,120,2024-01-20,Rejected
L5338,C1852,Business Loan,946004,16.85,60,2025-09-16,Approved
L5339,C1476,Business Loan,487486,12.61,84,2025-06-18,Approved
L5340,C1709,Personal Loan,630206,11.7,84,2025-02-24,Rejected
L5341,C1932,Auto Loan,1733073,11.02,84,2025-03-21,Rejected
L5342,C1320,Auto Loan,1491132,14.99,60,2026-05-28,Approved
L5343,C1178,Auto Loan,1626360,14.56,60,2024-05-15,Rejected
L5344,C1896,Personal Loan,734815,8.85,240,2025-05-19,Approved
L5345,C1218,Personal Loan,416590,14.56,180,2026-01-29,Default
L5346,C1788,Personal Loan,219807,9.53,48,2024-10-27,Rejected
L5347,C1948,Business Loan,394702,6.72,120,2025-08-31,Approved
L5348,C1527,Home Loan,3002661,14.89,180,2024-02-02,Approved
L5349,C1491,Home Loan,5350056,14.24,240,2025-10-08,Approved
L5350,C1890,Business Loan,1462886,11.43,60,2026-02-05,Approved
L5351,C1060,Auto Loan,1032234,12.81,36,2024-10-04,Approved
L5352,C1053,Business Loan,858910,17.87,48,2024-05-12,Rejected
L5353,C1679,Home Loan,4063647,13.64,84,2026-01-19,Pending
L5354,C1537,Personal Loan,746314,14.39,60,2025-06-10,Approved
L5355,C1847,Business Loan,369519,7.27,240,2026-02-27,Approved
L5356,C1987,Home Loan,5705779,8.49,36,2024-05-05,Approved
L5357,C1064,Personal Loan,548204,10.11,24,2024-12-10,Approved
L5358,C1611,Personal Loan,306587,12.97,84,2024-01-17,Approved
L5359,C1585,Personal Loan,198112,15.82,120,2026-04-03,Rejected
L5360,C1703,Home Loan,2941924,10.35,60,2025-07-15,Default
L5361,C1170,Business Loan,2519583,10.78,12,2025-10-08,Approved
L5362,C1272,Business Loan,3279674,9.57,36,2025-09-21,Rejected
L5363,C1888,Business Loan,2592056,9.56,36,2025-01-12,Pending
L5364,C1698,Personal Loan,208988,17.89,48,2026-03-28,Approved
L5365,C1534,Home Loan,3411895,14.13,84,2024-02-29,Rejected
L5366,C1390,Personal Loan,89080,8.37,60,2025-09-28,Approved
L5367,C1939,Business Loan,406242,15.17,12,2025-04-11,Approved
L5368,C1692,Home Loan,5823458,15.16,84,2025-09-19,Approved
L5369,C1326,Auto Loan,714080,14.5,240,2025-01-25,Rejected
L5370,C1107,Auto Loan,1277624,8.12,12,2025-11-15,Rejected
L5371,C1846,Home Loan,1727281,11.4,180,2024-07-05,Approved
L5372,C1161,Personal Loan,366855,7.78,180,2025-05-12,Approved
L5373,C1813,Business Loan,467403,16.3,36,2025-08-22,Approved
L5374,C1451,Business Loan,556392,14.36,240,2025-12-15,Pending
L5375,C1205,Personal Loan,70968,12.59,180,2024-12-26,Approved
L5376,C1589,Home Loan,4180145,10.62,36,2026-04-02,Pending
L5377,C1015,Business Loan,1884156,8.71,60,2026-04-11,Approved
L5378,C1326,Personal Loan,391603,7.78,36,2025-03-24,Approved
L5379,C1607,Home Loan,5848386,18.13,60,2025-11-24,Approved
L5380,C1658,Personal Loan,543197,8.9,240,2026-05-13,Approved
L5381,C1001,Home Loan,4571414,7.22,48,2025-11-10,Approved
L5382,C1009,Personal Loan,796470,18.04,84,2024-06-29,Approved
L5383,C1433,Home Loan,2732893,13.09,36,2026-03-22,Approved
L5384,C1124,Personal Loan,203329,16.06,36,2024-05-09,Approved
L5385,C1080,Home Loan,1949164,7.03,60,2024-05-28,Approved
L5386,C1484,Business Loan,3811228,13.3,180,2025-04-16,Approved
L5387,C1651,Education Loan,877110,11.28,180,2026-03-28,Rejected
L5388,C1837,Business Loan,1872762,15.76,36,2025-12-21,Rejected
L5389,C1149,Auto Loan,1562392,6.96,180,2025-09-14,Default
L5390,C1799,Personal Loan,782943,11.32,180,2025-05-14,Approved
L5391,C1872,Personal Loan,562552,16.09,36,2025-10-10,Approved
L5392,C1339,Business Loan,3729985,12.77,24,2024-12-20,Approved
L5393,C1128,Home Loan,2111414,13.1,24,2024-07-29,Approved
L5394,C1437,Personal Loan,65588,7.67,240,2025-10-19,Rejected
